"linenumber","sentiment","tweet_text"
1,2,"Wllh ana biya sbd kudin beli yawa ne dasu har namai ake cirewa"
2,3,"Kowa yayi da damisa ya duba jikinsa."
3,3,"Duk wanda ka gani a cikin motar kai shi ka yi ba shi ya kai.kai nai ba"
4,-1,"Allah ya tsinewa masu 'karya"
5,-2,"Mutane Basu D Adalcin Magana, Shugaba Yace Zaiyi, Dan Hk Sai a Masa Fatan Alkhairi D Nema Masa Taimakon U d"
7,4,"Wata sabuwa inji Dan caca"
8,5,"Allah Sarki ,Allah ya baku zama lafiya ,da zuriyar da su bazasuyi irin wannan kuskuren ba."
10,1,"Sai me? Duk wanda ya bi dan qwaya zanga zanga ruwan sa."
11,0,"Badantaba mancewa da mlm Fatima English teacher na primary school."
12,6,"Na dadinma bamuci muriyaba balle Wanda za a gyara."
13,0,"Abu daya shugaba buhari ya kamata ya duba mana a halin yanzu, aikin ruwan da shugaba marigayi yar'adua ya"
14,-3,"Haka ne mana amma fasali irin na tabarbarewar kasa ba"
16,1,"Babu mamaki idan tana da rashin lafiyar qwaqwalwa ko kuma cutar aljanu don haka yana da kyau a taimake ta d"
17,3,"wannan gaskiya ne Dattawan Arewa"
18,0,"Hahhh. Kyakkyawan zancen ji."
19,1,"Allah yasa dagaske akeyi to"
20,-1,"Allah ya kare nagaba."
22,7,"Ina gani wannan ai a Da ne amma yanzu babu wata Mota ta zaka shiga baka biya ba."
23,2,"Allah yayi mata albarka"
24,-1,"Hmmm wani abun anaganin kamar waye wane alhali b waye gurin sabawa Allah kije kinemi yafuwar ubangiji ita"
25,-1,"Allah yai mana afuwa baki daya"
27,2,"Nidai babu wanda zai kirgani, saboda an rainamu, an samu cikin talauci kuma za a kirgamu aga ko muna mutuwa kamar yadda akeso."
30,-11,"Kai-Kai irin wannan kui haka. Muna lokaci technology ne akwai wasu hanyan da za'a bi da tare da an bawa mutane wahala ba."
31,-2,"wannan bahausar samm bata kyauta ba"
33,-3,"Ai muna raguwa. Ba sai sunkirgaba"
35,1,"don Allah ku taimaka kuyiwa Nigeria bayani kan Hanyan Yola_Gombe Road"
40,0,"Barbela keda fari"
41,-2,"Dama rainin hankaline irinta yarabawa Dan sunga Dan arewa ne ke mulki shiyasa suke tada jijiyoyin wuya."
42,-3,"da bahaushe ne yache zaiyi zanga zangar nan da tini labari yasha banban sai dai kaji ana chewa wane ya a"
43,2,"Saboda mortar hukuma ce wacce aka tanada saboda aikin tsaro, don haka, da direban da sauran jami'an tsaro"
44,8,"Dama Bata razanamu ba sabida mun yarda da Allah Mai kowa mai komai"
45,3,"Domin kariya ga al ummah Kyau ta gwamnati ta riga ta biya"
46,-2,"Kuma ba haya suke yiba ballantana su kara kui"
47,4,"Daga baya kenan, wannan kawai an shirya hakannne"
48,0,"Sabo da motan azzalumai ne"
49,0,"A gaskiya wannan cin fuskan matasa ne a rasa waye za'a gayyata yayi magana a madadin matasa sai"
50,4,"Tab ALLAH yasa mu dace"
51,1,"Malamina da ya koyar dani Hausa saboda a lokacin ban iya hausa ba"
52,1,"Ai dama yayi waya hana shi"
53,1,"Dama waya sashi shi yayi ra ayi ai"
54,2,"Wannan ko Minister sadiya faruk yake hasada"
55,2,"Allah ya yi masu mafita"
56,0,"Tun kafin a haifi mai sabulu balbela take da farin ta"
57,0,"Allah yasa mudace amma mu ranar malamai ta duniya taso acikin wani irin lokaci"
58,1,"... Fita sai da Allah ya isa"
59,-1,"Tamm adai bari mugani idan dagaske ne"
60,8,"Allah yasa a gyara a gaba"
