word,polarity
a fortiori,1
kyakkyawan ciniki,1
babban aiki,1
da yawa,1
daya,1
gidan baya,1
watsi,-1
kaskanci,1
abashment,-1
abasiya,-1
raguwa,-1
raguwa,-1
ciwon ciki na ciki,1
numfashin ciki,-1
sata,-1
sacewa,-1
raguwa,1
rashin daidaituwa,1
zubar da ciki,-1
ƙyama,-1
zauna,-1
abi,1
alwala,-1
aljure,-1
ɓata,-1
ablala,1
shafa,1
iya,1
ikon iya aiki,1
iya jiki,1
iyawa,1
alwala,1
cire ciki,1
rashin daidaituwa,1
rashin daidaituwa,1
mara kyau,1
shafewa,1
abin qazanta,-1
abin ƙyama,-1
zubar da ciki,-1
abortifacient,-1
zubar da ciki,-1
aborbest,1
yawaita,-1
yawaita,-1
game da,1
a sama,-1
da aka ambata a sama,-1
na sama mai suna,-1
a sama,-1
rage,-1
shafe-shafe,-1
abreaction,1
rashi ba tare da izini ba,-1
ba ya nan,1
rashin aiki,1
ba a nan,1
ba a damu ba,1
bayana,1
cikakke,-1
cikakken barasa,-1
cikawa,-1
warware,1
sha,1
sha,1
nutsuwa,1
shanyewa,1
kaurace,-1
shashasha,1
a hankali,1
bayyananniyar magana,1
an cire shi,1
wanda ba a fahimta ba,1
a hankali,-1
wauta,1
zagi,-1
zagi,1
zagi,1
abysmally,-1
rigar ilimi,-1
tufafin ilimi,-1
a ilimance,1
makarantar kimiyya,1
acanthocephalan,-1
acanthocytosis,-1
acanthophis antarcticus,-1
acanthopterygii,1
yan acanthosis nigricans,-1
acardia,-1
arophobia,-1
acarpous,-1
acatalectic,1
acataphasia,-1
acathexia,-1
karin,-1
wadata,-1
karin,1
hanzari,-1
mai hanzari,-1
hanzari,-1
lafazi,1
karin magana,1
accentuation,1
karba,1
karba,1
yarda,1
karɓa,1
karba,1
m,1
mai karbar rna,-1
m,1
m,1
karin girma,1
m,-1
haɗari,-1
mai haɗari,-1
rauni na haɗari,-1
bazata,1
yabo,1
tarawa,-1
karawa,-1
karawa,-1
sauka,1
masauki,1
kwantar da hankali,1
cika gaskiya,1
yarjejeniya,-1
daidai,-1
